age,gender,region,tenure_months,annual_spend_usd,num_purchases,avg_order_value,returns_count,loyalty_tier,last_purchase_days,email_opt_in,churned,Target
71.0,0,1,11,3721.94,81,40.41,6,0,67.0,0,0,3
19.0,1,0,93,16984.5,74,234.55,9,3,134.0,1,0,1
67.0,0,1,79,4843.26,56,73.22,7,3,259.0,0,0,3
63.0,1,0,53,7987.33,89,84.64,6,3,20.0,0,0,3
64.0,1,0,52,3518.88,13,319.82,5,0,333.0,0,0,3
27.0,0,1,104,21736.63,93,202.53,2,0,63.0,1,0,2
69.0,1,2,11,39536.56,86,461.71,3,3,288.0,0,0,2
52.0,0,1,84,7269.49,51,166.39,8,0,226.0,1,0,0
41.0,0,0,25,23310.55,74,365.83,0,1,310.0,1,0,2
57.0,1,2,12,13442.85,53,235.94,0,0,283.0,0,0,3
37.0,1,2,64,7371.57,27,333.38,4,3,189.0,1,0,1
34.0,0,1,118,22233.01,80,303.85,8,3,276.0,0,0,2
34.0,0,2,89,5171.01,25,241.66,7,1,127.0,0,1,3
51.0,1,2,92,14858.31,32,475.53,6,0,214.0,1,1,0
52.0,2,1,87,8935.39,52,177.93,5,0,334.0,0,0,3
31.0,0,3,95,8206.59,84,96.85,1,0,31.0,1,0,0
32.0,0,2,62,12171.92,39,342.27,3,3,130.0,1,0,1
72.0,1,1,16,17253.68,50,424.54,0,0,7.0,1,0,0
47.0,0,0,101,155.4,5,29.72,8,1,196.0,1,0,0
67.0,0,2,55,2624.23,12,230.32,8,0,286.0,0,0,3
37.0,1,2,61,2846.39,6,447.32,2,0,15.0,1,0,0
34.0,2,0,45,2545.99,8,377.31,3,3,201.0,0,0,3
34.0,0,1,22,34758.71,87,495.99,3,1,152.0,0,0,2
63.0,0,1,94,27191.23,83,333.4,5,1,81.0,1,0,2
47.0,0,1,78,909.1,6,158.22,8,3,60.0,0,0,3
35.0,0,1,49,4265.27,8,474.29,4,1,35.0,1,0,0
73.0,0,1,99,5226.96,29,189.5,7,3,149.0,0,0,3
51.0,1,2,66,21454.69,57,371.87,5,0,178.0,1,0,2
40.0,1,3,54,7320.31,34,207.54,3,3,336.0,0,0,3
50.0,0,1,28,6567.94,18,362.69,7,0,63.0,1,0,0
54.0,1,3,12,18002.79,74,259.38,8,3,256.0,0,0,3
71.0,0,0,67,14085.11,32,454.47,10,3,23.0,1,0,1
27.0,1,3,8,27305.31,75,327.07,1,0,239.0,0,1,2
75.0,0,2,103,19038.72,91,177.76,6,3,93.0,1,0,1
49.0,0,2,100,339.74,2,210.0,3,1,218.0,1,0,0
19.0,1,0,34,10329.82,44,225.62,4,0,166.0,1,0,0
24.0,1,0,76,6574.58,83,71.65,2,0,348.0,0,0,3
45.0,1,0,20,3564.98,71,54.94,4,0,105.0,0,0,3
53.0,1,1,91,32322.29,86,337.07,4,0,331.0,1,0,2
32.0,1,3,85,14646.84,42,331.2,3,2,229.0,0,0,3
39.0,0,2,43,14907.73,38,334.83,8,3,274.0,1,0,1
60.0,1,3,9,1666.97,71,19.69,6,0,62.0,1,0,0
74.0,1,2,117,2222.2,16,170.01,5,0,7.0,0,0,3
46.0,1,1,54,2509.8,24,106.93,1,2,267.0,0,0,3
42.0,1,3,108,24317.3,61,391.29,6,0,176.0,1,1,2
38.0,2,0,82,24837.45,67,431.71,1,1,113.0,1,0,2
25.0,1,1,94,1467.6,12,130.87,3,0,328.0,1,0,0
21.0,1,1,92,20554.72,51,337.25,4,0,120.0,1,0,0
66.0,0,1,24,2189.97,37,73.39,1,3,159.0,1,0,1
20.0,0,1,44,7245.51,51,144.82,4,0,265.0,0,0,3
65.0,0,3,57,8507.77,96,77.94,2,3,352.0,1,0,1
32.0,0,1,60,1107.52,8,148.93,9,0,329.0,1,0,0
58.0,0,1,6,33786.76,100,340.62,9,1,239.0,0,1,2
61.0,2,3,19,8435.09,78,109.24,6,1,40.0,1,1,0
60.0,1,1,90,10101.98,43,275.62,7,0,253.0,0,0,3
33.0,0,0,82,9288.36,32,353.68,4,1,186.0,1,0,0
52.0,0,0,111,43828.43,78,476.93,5,2,49.0,1,0,2
