customer_id,transaction_id,account_id,device_id,ip_address,merchant_id,transaction_date,age,gender,region,tenure_months,annual_spend_usd,num_purchases,avg_order_value,returns_count,loyalty_tier,last_purchase_days,email_opt_in,churned
C00001,TXN000001,ACC00001,DEV00001,129.116.19.31,MER050,2023-11-06,71.0,Female,North,11,3721.94,81,40.41,6,Bronze,67.0,False,0
C00002,TXN000002,ACC00002,DEV00002,152.145.141.40,MER028,2023-03-04,19.0,Male,East,93,16984.5,74,234.55,9,Silver,134.0,True,0
C00003,TXN000003,ACC00003,DEV00003,130.16.37.127,MER002,2023-08-20,67.0,Female,North,79,4843.26,56,73.22,7,Silver,259.0,False,0
C00004,TXN000004,ACC00004,DEV00004,157.167.250.217,MER045,2023-07-04,63.0,Male,East,53,7987.33,89,84.64,6,Silver,20.0,False,0
C00005,TXN000005,ACC00005,DEV00005,97.199.25.218,MER048,2023-08-12,64.0,Male,East,52,3518.88,13,319.82,5,Bronze,333.0,False,0
C00006,TXN000006,ACC00006,DEV00006,99.194.247.179,MER014,2023-02-11,27.0,Female,North,104,21736.63,93,202.53,2,Bronze,63.0,True,0
C00007,TXN000007,ACC00007,DEV00007,234.3.44.160,MER021,2023-06-20,69.0,Male,South,11,39536.56,86,461.71,3,Silver,288.0,False,0
C00008,TXN000008,ACC00008,DEV00008,138.31.183.15,MER002,2023-08-17,52.0,Female,North,84,7269.49,51,166.39,8,Bronze,226.0,True,0
C00009,TXN000009,ACC00009,DEV00009,252.40.114.210,MER041,2023-05-05,41.0,Female,East,25,23310.55,74,365.83,0,Gold,310.0,True,0
C00010,TXN000010,ACC00010,DEV00010,131.189.179.241,MER039,2023-11-16,57.0,Male,South,12,13442.85,53,235.94,0,Bronze,283.0,False,0
C00011,TXN000011,ACC00011,DEV00011,118.249.132.227,MER002,2023-07-13,37.0,Male,South,64,7371.57,27,333.38,4,Silver,189.0,True,0
C00012,TXN000012,ACC00012,DEV00012,187.34.164.224,MER036,2023-05-13,34.0,Female,North,118,22233.01,80,303.85,8,Silver,276.0,False,0
C00013,TXN000013,ACC00013,DEV00013,33.214.27.222,MER021,2023-01-12,34.0,Female,South,89,5171.01,25,241.66,7,Gold,127.0,False,1
C00014,TXN000014,ACC00014,DEV00014,201.39.185.30,MER028,2023-03-03,51.0,Male,South,92,14858.31,32,475.53,6,Bronze,214.0,True,1
C00015,TXN000015,ACC00015,DEV00015,145.235.53.45,MER011,2023-06-23,52.0,Other,North,87,8935.39,52,177.93,5,Bronze,334.0,False,0
C00016,TXN000016,ACC00016,DEV00016,108.94.13.116,MER041,2023-05-27,31.0,Female,West,95,8206.59,84,96.85,1,Bronze,31.0,True,0
C00017,TXN000017,ACC00017,DEV00017,66.32.71.6,MER021,2023-11-15,32.0,Female,South,62,12171.92,39,342.27,3,Silver,130.0,True,0
C00018,TXN000018,ACC00018,DEV00018,233.253.94.223,MER043,2023-10-14,72.0,Male,North,16,17253.68,50,424.54,0,Bronze,7.0,True,0
C00019,TXN000019,ACC00019,DEV00019,118.232.44.73,MER008,2023-02-28,47.0,Female,East,101,155.4,5,29.72,8,Gold,196.0,True,0
C00020,TXN000020,ACC00020,DEV00020,188.56.210.109,MER030,2023-08-04,67.0,Female,South,55,2624.23,12,230.32,8,Bronze,286.0,False,0
C00021,TXN000021,ACC00021,DEV00021,103.116.203.2,MER016,2023-06-15,37.0,Male,South,61,2846.39,6,447.32,2,Bronze,15.0,True,0
C00022,TXN000022,ACC00022,DEV00022,191.198.209.254,MER049,2023-02-06,34.0,Other,East,45,2545.99,8,377.31,3,Silver,201.0,False,0
C00023,TXN000023,ACC00023,DEV00023,199.135.119.99,MER028,2023-09-01,34.0,Female,North,22,34758.71,87,495.99,3,Gold,152.0,False,0
C00024,TXN000024,ACC00024,DEV00024,211.100.146.25,MER036,2023-07-16,,Female,East,112,20669.15,85,270.39,9,Gold,286.0,False,0
C00025,TXN000025,ACC00025,DEV00025,81.68.111.128,MER005,2023-02-01,63.0,Female,North,94,27191.23,83,333.4,5,Gold,81.0,True,0
C00026,TXN000026,ACC00026,DEV00026,182.110.39.139,MER034,2023-06-20,47.0,Female,North,78,909.1,6,158.22,8,Silver,60.0,False,0
C00027,TXN000027,ACC00027,DEV00027,14.216.196.58,MER006,2023-09-25,35.0,Female,North,49,4265.27,8,474.29,4,Gold,35.0,True,0
C00028,TXN000028,ACC00028,DEV00028,67.8.93.10,MER019,2023-04-30,73.0,Female,North,99,5226.96,29,189.5,7,Silver,149.0,False,0
C00029,TXN000029,ACC00029,DEV00029,238.35.168.145,MER012,2023-05-11,51.0,Male,South,66,21454.69,57,371.87,5,Bronze,178.0,True,0
C00030,TXN000030,ACC00030,DEV00030,61.206.28.226,MER001,2023-02-10,40.0,Male,West,54,7320.31,34,207.54,3,Silver,336.0,False,0
C00031,TXN000031,ACC00031,DEV00031,189.162.224.103,MER030,2023-03-16,18.0,Male,West,55,,49,285.29,9,Gold,171.0,True,0
C00032,TXN000032,ACC00032,DEV00032,72.40.235.102,MER013,2023-12-25,50.0,Female,North,28,6567.94,18,362.69,7,Bronze,63.0,True,0
C00033,TXN000033,ACC00033,DEV00033,211.85.243.221,MER026,2023-08-15,54.0,Male,West,12,18002.79,74,259.38,8,Silver,256.0,False,0
C00034,TXN000034,ACC00034,DEV00034,79.124.202.58,MER039,2023-03-06,71.0,Female,East,67,14085.11,32,454.47,10,Silver,23.0,True,0
C00035,TXN000035,ACC00035,DEV00035,7.74.151.35,MER009,2023-06-26,31.0,Male,East,107,,7,215.46,2,Silver,127.0,False,0
C00036,TXN000036,ACC00036,DEV00036,85.234.20.13,MER036,2023-03-12,27.0,Male,West,8,27305.31,75,327.07,1,Bronze,239.0,False,1
C00037,TXN000037,ACC00037,DEV00037,108.4.8.47,MER015,2023-06-11,75.0,Female,South,103,19038.72,91,177.76,6,Silver,93.0,True,0
C00038,TXN000038,ACC00038,DEV00038,26.206.32.133,MER017,2023-02-23,49.0,Female,South,100,339.74,2,210.0,3,Gold,218.0,True,0
C00039,TXN000039,ACC00039,DEV00039,180.159.167.91,MER029,2023-08-14,19.0,Male,East,34,10329.82,44,225.62,4,Bronze,166.0,True,0
C00040,TXN000040,ACC00040,DEV00040,226.18.28.218,MER032,2023-07-28,24.0,Male,East,76,6574.58,83,71.65,2,Bronze,348.0,False,0
C00041,TXN000041,ACC00041,DEV00041,18.49.44.9,MER033,2023-08-20,45.0,Male,East,20,3564.98,71,54.94,4,Bronze,105.0,False,0
C00042,TXN000042,ACC00042,DEV00042,30.146.168.22,MER010,2023-06-11,53.0,Male,North,91,32322.29,86,337.07,4,Bronze,331.0,True,0
C00043,TXN000043,ACC00043,DEV00043,240.25.175.204,MER029,2023-04-15,32.0,Male,West,85,14646.84,42,331.2,3,Platinum,229.0,False,0
C00044,TXN000044,ACC00044,DEV00044,133.125.28.62,MER014,2023-04-02,39.0,Female,South,43,14907.73,38,334.83,8,Silver,274.0,True,0
C00045,TXN000045,ACC00045,DEV00045,217.89.9.186,MER014,2023-03-20,60.0,Male,West,9,1666.97,71,19.69,6,Bronze,62.0,True,0
C00046,TXN000046,ACC00046,DEV00046,174.17.13.30,MER048,2023-06-06,74.0,Male,South,117,2222.2,16,170.01,5,Bronze,7.0,False,0
C00047,TXN000047,ACC00047,DEV00047,13.157.34.155,MER006,2023-06-14,46.0,Male,North,54,2509.8,24,106.93,1,Platinum,267.0,False,0
C00048,TXN000048,ACC00048,DEV00048,45.248.185.96,MER021,2023-09-03,42.0,Male,West,108,24317.3,61,391.29,6,Bronze,176.0,True,1
C00049,TXN000049,ACC00049,DEV00049,109.17.14.137,MER022,2023-01-20,38.0,Other,East,82,24837.45,67,431.71,1,Gold,113.0,True,0
C00050,TXN000050,ACC00050,DEV00050,6.163.98.36,MER013,2023-04-13,25.0,Male,North,94,1467.6,12,130.87,3,Bronze,328.0,True,0
C00051,TXN000051,ACC00051,DEV00051,137.141.190.51,MER040,2023-11-08,21.0,Male,North,92,20554.72,51,337.25,4,Bronze,120.0,True,0
C00052,TXN000052,ACC00052,DEV00052,140.215.69.213,MER025,2023-12-01,66.0,Female,North,24,2189.97,37,73.39,1,Silver,159.0,True,0
C00053,TXN000053,ACC00053,DEV00053,184.110.225.246,MER036,2023-12-06,20.0,Female,North,44,7245.51,51,144.82,4,Bronze,265.0,False,0
C00054,TXN000054,ACC00054,DEV00054,61.249.1.33,MER020,2023-04-22,65.0,Female,West,57,8507.77,96,77.94,2,Silver,352.0,True,0
C00055,TXN000055,ACC00055,DEV00055,11.94.238.153,MER045,2023-02-20,32.0,Female,North,60,1107.52,8,148.93,9,Bronze,329.0,True,0
C00056,TXN000056,ACC00056,DEV00056,157.22.132.98,MER037,2023-03-14,58.0,Female,North,6,33786.76,100,340.62,9,Gold,239.0,False,1
C00057,TXN000057,ACC00057,DEV00057,122.67.52.242,MER017,2023-02-18,73.0,Female,West,66,,45,456.06,0,Gold,41.0,True,0
C00058,TXN000058,ACC00058,DEV00058,142.105.19.194,MER049,2023-12-15,61.0,Other,West,19,8435.09,78,109.24,6,Gold,40.0,True,1
C00059,TXN000059,ACC00059,DEV00059,121.99.170.34,MER044,2023-11-19,60.0,Male,North,90,10101.98,43,275.62,7,Bronze,253.0,False,0
C00060,TXN000060,ACC00060,DEV00060,136.220.118.1,MER030,2023-10-23,33.0,Female,East,82,9288.36,32,353.68,4,Gold,186.0,True,0
C00061,TXN000061,ACC00061,DEV00061,59.15.128.93,MER001,2023-09-24,52.0,Female,East,111,43828.43,78,476.93,5,Platinum,49.0,True,0
