customer_id,age,gender,region,tenure_months,annual_spend_usd,num_purchases,avg_order_value,returns_count,loyalty_tier,last_purchase_days,email_opt_in,churned
C00001,67.0,Male,South,11,3721.94,81,40.41,6,Bronze,28.0,True,0
C00002,27.0,Male,East,93,16984.5,74,234.55,9,Silver,184.0,False,0
C00003,54.0,Female,North,79,4843.26,56,73.22,7,Silver,209.0,True,0
C00004,,Male,West,53,7987.33,89,84.64,6,Silver,268.0,True,0
C00005,,Male,East,52,3518.88,13,319.82,5,Bronze,209.0,False,0
C00006,24.0,Female,East,104,21736.63,93,202.53,2,Bronze,69.0,False,0
C00007,45.0,Female,North,11,39536.56,86,461.71,3,Silver,134.0,True,0
C00008,54.0,Female,East,84,7269.49,51,166.39,8,Bronze,162.0,False,0
C00009,37.0,Female,North,25,23310.55,74,365.83,0,Gold,360.0,False,0
C00010,68.0,Female,West,12,13442.85,53,235.94,0,Bronze,195.0,True,0
C00011,48.0,Female,East,64,7371.57,27,333.38,4,Silver,232.0,False,0
C00012,39.0,Female,South,118,22233.01,80,303.85,8,Silver,269.0,False,0
C00013,19.0,Male,West,89,5171.01,25,241.66,7,Gold,133.0,False,1
C00014,27.0,Female,West,92,14858.31,32,475.53,6,Bronze,353.0,True,1
C00015,45.0,Male,North,87,8935.39,52,177.93,5,Bronze,247.0,True,0
C00016,41.0,Male,North,95,8206.59,84,96.85,1,Bronze,310.0,True,0
C00017,68.0,Male,South,62,12171.92,39,342.27,3,Silver,274.0,False,0
C00018,63.0,Female,North,16,17253.68,50,424.54,0,Bronze,227.0,False,0
C00019,27.0,Female,East,101,155.4,5,29.72,8,Gold,12.0,True,0
C00020,52.0,Female,East,55,2624.23,12,230.32,8,Bronze,214.0,True,0
C00021,44.0,Other,East,61,2846.39,6,447.32,2,Bronze,48.0,True,0
C00022,23.0,Female,North,45,2545.99,8,377.31,3,Silver,221.0,True,0
C00023,56.0,Male,West,22,34758.71,87,495.99,3,Gold,257.0,False,0
C00024,49.0,Female,West,112,20669.15,85,270.39,9,Gold,199.0,True,0
C00025,23.0,Female,East,94,27191.23,83,333.4,5,Gold,113.0,True,0
C00026,45.0,Female,North,78,909.1,6,158.22,8,Silver,22.0,True,0
C00027,60.0,Male,South,49,4265.27,8,474.29,4,Gold,,True,0
C00028,36.0,Male,East,99,5226.96,29,189.5,7,Silver,255.0,False,0
C00029,,Female,East,66,21454.69,57,371.87,5,Bronze,175.0,False,0
C00030,24.0,Male,North,54,7320.31,34,207.54,3,Silver,262.0,True,0
C00031,29.0,Male,West,55,11305.44,49,285.29,9,Gold,285.0,True,0
C00032,74.0,Male,West,28,6567.94,18,362.69,7,Bronze,188.0,True,0
C00033,54.0,Male,East,12,18002.79,74,259.38,8,Silver,18.0,True,0
C00034,28.0,Male,South,67,14085.11,32,454.47,10,Silver,318.0,True,0
C00035,45.0,Other,East,107,1267.08,7,215.46,2,Silver,171.0,True,0
C00036,29.0,Female,North,8,27305.31,75,327.07,1,Bronze,246.0,False,1
C00037,43.0,Female,East,103,19038.72,91,177.76,6,Silver,333.0,True,0
C00038,26.0,Male,North,100,339.74,2,210.0,3,Gold,133.0,True,0
C00039,53.0,Male,North,34,10329.82,44,225.62,4,Bronze,228.0,True,0
C00040,51.0,Male,East,76,6574.58,83,71.65,2,Bronze,8.0,False,0
C00041,54.0,Male,East,20,,71,54.94,4,Bronze,324.0,True,0
C00042,43.0,Male,West,91,32322.29,86,337.07,4,Bronze,22.0,True,0
C00043,34.0,Female,East,85,14646.84,42,331.2,3,Platinum,198.0,False,0
C00044,32.0,Other,West,43,14907.73,38,334.83,8,Silver,129.0,True,0
C00045,30.0,Female,West,9,1666.97,71,19.69,6,Bronze,14.0,False,0
C00046,42.0,Male,South,117,2222.2,16,170.01,5,Bronze,169.0,True,0
C00047,44.0,Male,West,54,2509.8,24,106.93,1,Platinum,342.0,False,0
C00048,57.0,Male,South,108,24317.3,61,391.29,6,Bronze,61.0,False,1
C00049,21.0,Male,East,82,24837.45,67,431.71,1,Gold,107.0,True,0
C00050,34.0,Female,North,94,1467.6,12,130.87,3,Bronze,70.0,False,0
C00051,67.0,Male,North,92,,51,337.25,4,Bronze,46.0,True,0
C00052,71.0,Female,East,24,,37,73.39,1,Silver,85.0,False,0
C00053,71.0,Female,South,44,7245.51,51,144.82,4,Bronze,209.0,False,0
C00054,35.0,Male,East,57,8507.77,96,77.94,2,Silver,285.0,False,0
C00055,25.0,Male,North,60,1107.52,8,148.93,9,Bronze,252.0,False,0
C00056,29.0,Male,South,6,33786.76,100,340.62,9,Gold,282.0,True,1
C00057,25.0,Male,East,66,,45,456.06,0,Gold,262.0,True,0
C00058,73.0,Female,East,19,8435.09,78,109.24,6,Gold,140.0,True,1
