TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
14.09,1,San Diego,0,70.0,0,81.0,1.0,5112.21,2024-11-04 08:08:08
376.24,1,Houston,0,68.0,0,141.0,1.0,13758.91,2024-11-04 08:09:35
126.29,1,Mesa,2,19.0,3,56.0,1.0,1122.35,2024-11-04 08:07:04
184.5,1,Raleigh,2,26.0,3,25.0,1.0,8569.06,2024-11-04 08:09:06
92.15,1,Oklahoma City,0,18.0,3,172.0,1.0,781.68,2024-11-04 08:06:36
7.08,0,Seattle,0,37.0,0,139.0,1.0,13316.71,2024-11-04 08:10:09
171.42,0,Indianapolis,1,67.0,2,291.0,1.0,2796.24,2024-11-04 08:10:55
106.23,0,Detroit,1,51.0,1,86.0,1.0,9095.14,2024-11-04 08:11:14
815.96,1,Nashville,0,55.0,0,120.0,1.0,1021.88,2024-11-04 08:06:32
17.78,0,Albuquerque,2,52.0,1,59.0,1.0,7599.52,2024-11-04 08:06:45
190.02,1,Memphis,2,21.0,3,173.0,1.0,1528.81,2024-11-04 08:07:12
494.52,0,Mesa,1,24.0,3,111.0,1.0,1620.02,2024-11-04 08:08:38
781.76,1,Memphis,0,26.0,3,123.0,1.0,189.69,2024-11-04 08:07:06
166.99,1,Louisville,2,18.0,3,134.0,1.0,299.93,2024-11-04 08:10:09
465.45,1,Denver,0,36.0,1,129.0,1.0,3465.54,2024-11-04 08:12:19
555.8,0,Austin,1,19.0,3,158.0,1.0,1131.26,2024-11-04 08:07:35
492.93,1,Columbus,2,39.0,1,234.0,1.0,5109.97,2024-11-04 08:11:51
18.68,0,Albuquerque,1,59.0,2,106.0,1.0,7948.37,2024-11-04 08:12:01
71.48,0,Columbus,2,18.0,3,169.0,1.0,6568.59,2024-11-04 08:09:20
59.32,1,Los Angeles,1,71.0,2,38.0,1.0,5750.89,2024-11-04 08:09:24
85.77,1,Las Vegas,1,38.0,0,93.0,1.0,9146.19,2024-11-04 08:08:13
345.84,1,Fort Worth,2,22.0,3,142.0,3.0,1402.5,2024-11-04 08:07:04
145.54,1,Raleigh,2,21.0,3,96.0,1.0,1930.96,2024-11-04 08:07:09
7.49,0,Houston,2,65.0,2,276.0,1.0,3634.67,2024-11-04 08:09:44
246.93,1,Miami,0,23.0,3,158.0,5.0,673.35,2024-11-04 08:11:38
40.32,1,Milwaukee,1,37.0,1,95.0,1.0,2686.52,2024-11-04 08:11:59
127.45,1,Las Vegas,2,44.0,0,197.0,1.0,1772.06,2024-11-04 08:11:22
56.17,1,Detroit,1,27.0,3,283.0,1.0,1351.69,2024-11-04 08:08:30
28.31,0,Miami,2,59.0,0,20.0,1.0,8334.47,2024-11-04 08:09:17
59.12,1,Baltimore,0,29.0,0,257.0,1.0,9823.64,2024-11-04 08:06:58
396.45,1,New York,0,49.0,1,168.0,3.0,9690.15,2024-11-04 08:11:13
877.81,1,Los Angeles,2,22.0,3,150.0,1.0,399.0,2024-11-04 08:07:50
255.26,0,San Francisco,1,45.0,0,50.0,1.0,14815.87,2024-11-04 08:10:51
124.76,1,Seattle,1,49.0,1,45.0,1.0,5764.72,2024-11-04 08:06:23
78.13,1,Milwaukee,1,26.0,3,145.0,1.0,900.61,2024-11-04 08:12:18
795.31,1,Mesa,0,66.0,0,90.0,2.0,7914.88,2024-11-04 08:11:17
335.63,1,Oklahoma City,2,55.0,2,216.0,1.0,1019.39,2024-11-04 08:07:32
328.47,1,San Antonio,0,63.0,2,119.0,1.0,4323.66,2024-11-04 08:07:31
34.02,1,Philadelphia,2,38.0,0,19.0,1.0,14214.48,2024-11-04 08:11:45
241.42,0,Charlotte,2,57.0,0,116.0,1.0,13357.02,2024-11-04 08:09:03
55.32,1,Tucson,0,19.0,3,117.0,1.0,241.79,2024-11-04 08:08:03
304.31,1,Louisville,1,27.0,3,33.0,1.0,868.61,2024-11-04 08:09:53
164.49,1,Baltimore,1,26.0,3,75.0,1.0,1509.27,2024-11-04 08:10:33
510.24,1,Oklahoma City,2,19.0,3,105.0,1.0,781.7,2024-11-04 08:11:35
626.9,1,Denver,2,26.0,3,138.0,1.0,265.51,2024-11-04 08:07:24
425.34,0,Kansas City,2,69.0,2,121.0,1.0,3907.54,2024-11-04 08:07:07
85.43,1,Virginia Beach,1,67.0,0,145.0,1.0,14904.9,2024-11-04 08:06:45
169.5,1,San Diego,1,28.0,3,142.0,1.0,918.88,2024-11-04 08:08:58
104.63,1,Omaha,0,62.0,2,90.0,1.0,4477.78,2024-11-04 08:10:42
316.95,1,Mesa,1,25.0,3,83.0,1.0,1324.03,2024-11-04 08:09:15
60.54,0,Columbus,1,57.0,2,52.0,1.0,3534.93,2024-11-04 08:09:57
292.56,0,Dallas,1,68.0,2,61.0,1.0,4638.37,2024-11-04 08:07:49
386.52,1,Indianapolis,1,48.0,1,28.0,1.0,5630.61,2024-11-04 08:07:09
112.07,1,Kansas City,1,23.0,3,51.0,1.0,930.3,2024-11-04 08:11:37
263.99,1,Dallas,1,79.0,2,227.0,2.0,4175.02,2024-11-04 08:11:03
349.64,1,Las Vegas,2,48.0,1,226.0,1.0,6651.62,2024-11-04 08:08:09
601.4,0,Philadelphia,1,56.0,1,104.0,1.0,8458.29,2024-11-04 08:08:01
5.77,1,Charlotte,2,50.0,0,124.0,1.0,13988.12,2024-11-04 08:11:32
201.33,0,Nashville,1,42.0,1,186.0,1.0,2585.07,2024-11-04 08:11:41
298.42,1,Indianapolis,1,56.0,2,225.0,1.0,3014.75,2024-11-04 08:10:12
521.06,1,Albuquerque,1,25.0,3,128.0,1.0,1951.42,2024-11-04 08:12:10
117.28,0,Austin,2,60.0,1,16.0,1.0,3665.77,2024-11-04 08:07:11
